analysis_family,model,condition,metric,pairs,status,reason,n_pairs,n_scenarios,mean_delta_pairs,mean_delta_scenarios,median_delta_scenarios,sd_delta_scenarios,iqr_delta_scenarios,ci95_lower,ci95_upper,p_permutation,p_sign_test,wilcoxon_statistic,p_wilcoxon,rank_biserial,p_holm,significant_005,holm_family,run_id
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemini-3.7-flash,B_FAIRNESS,empathy,"P001,P003",COMPUTED,,80,40,0.0125,0.0125,0.0,0.30982832301710206,0.0,-0.0875,0.1,1.0,1.0,20.5,0.8027758810515568,0.08888888888888889,1.0,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemma-4-31b-it,A_BASE,severity,"P001,P003",COMPUTED,,80,40,0.0375,0.0375,0.0,0.26281269531838225,0.0,-0.0375,0.125,0.5658434156584341,0.7265625,12.0,0.36571229628151325,0.3333333333333333,1.0,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemma-4-31b-it,A_BASE,empathy,"P001,P003",COMPUTED,,80,40,0.0375,0.0375,0.0,0.2628126953183823,0.0,-0.0375,0.125,0.5675432456754325,0.7265625,12.0,0.36571229628151325,0.3333333333333333,1.0,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemma-4-31b-it,B_FAIRNESS,severity,"P001,P003",COMPUTED,,80,40,-0.075,-0.075,0.0,0.3499084129252931,0.0,-0.1875,0.025,0.26617338266173385,0.548828125,18.0,0.16279692662103762,-0.45454545454545453,1.0,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemma-4-31b-it,B_FAIRNESS,empathy,"P001,P003",COMPUTED,,80,40,0.0375,0.0375,0.0,0.32792080031930165,0.0,-0.0625,0.1375,0.636936306369363,0.548828125,25.5,0.4772893402694307,0.22727272727272727,1.0,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemma-3n-e4b-it-text,A_BASE,severity,"P001,P003",COMPUTED,,80,40,-0.125,-0.125,0.0,0.38812501290309237,0.5,-0.25,-0.0125,0.07939206079392061,0.143463134765625,37.5,0.04796298104544333,-0.5098039215686274,0.9107089291070893,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemma-3n-e4b-it-text,A_BASE,empathy,"P001,P003",COMPUTED,,80,40,0.075,0.075,0.0,0.41679485207707245,0.0,-0.05,0.2,0.34836516348365165,0.803619384765625,45.5,0.22032924672932885,0.33088235294117646,1.0,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemma-3n-e4b-it-text,B_FAIRNESS,severity,"P001,P003",COMPUTED,,80,40,0.05,0.05,0.0,0.40509574683346666,0.125,-0.075,0.175,0.5572442755724427,0.629058837890625,61.0,0.4318630974430382,0.20261437908496732,1.0,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemma-3n-e4b-it-text,B_FAIRNESS,empathy,"P001,P003",COMPUTED,,80,40,-0.05,-0.05,0.0,0.4777082040379129,0.5,-0.1875,0.1,0.6244375562443756,0.480682373046875,72.5,0.5558541334763356,-0.15204678362573099,1.0,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,A_BASE,severity,P001,COMPUTED,,40,40,0.15,0.15,0.0,0.4830458915396479,0.0,0.0,0.3,0.1045895410458954,0.109375,11.0,0.057779571123597245,0.6,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,A_BASE,empathy,P001,COMPUTED,,40,40,-0.025,-0.025,0.0,0.42290206176626033,0.0,-0.15,0.1,1.0,1.0,12.0,0.7054569861112734,-0.14285714285714285,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,B_FAIRNESS,severity,P001,COMPUTED,,40,40,0.05,0.05,0.0,0.4500712194354384,0.0,-0.075,0.2,0.7268273172682732,0.7265625,13.5,0.47950012218695337,0.25,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,B_FAIRNESS,empathy,P001,COMPUTED,,40,40,-0.1,-0.1,0.0,0.4414428557263045,0.0,-0.225,0.025,0.28817118288171184,0.2890625,9.0,0.15729920705028502,-0.5,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,A_BASE,severity,P001,COMPUTED,,40,40,0.0,0.0,0.0,0.32025630761017426,0.0,-0.1,0.1,1.0,1.0,5.0,1.0,0.0,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,A_BASE,empathy,P001,COMPUTED,,40,40,0.05,0.05,0.0,0.4500712194354384,0.0,-0.075,0.2,0.7533246675332467,1.0,5.0,0.4795001221869535,0.3333333333333333,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,B_FAIRNESS,severity,P001,COMPUTED,,40,40,-0.175,-0.175,0.0,0.4464963318538847,0.0,-0.325,-0.05,0.037896210378962104,0.0390625,5.0,0.019630657257290667,-0.7777777777777778,0.4547545245475453,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,B_FAIRNESS,empathy,P001,COMPUTED,,40,40,0.075,0.075,0.0,0.47434164902525694,0.0,-0.075,0.225,0.5130486951304869,0.5078125,15.0,0.31731050786291415,0.3333333333333333,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,A_BASE,severity,P001,COMPUTED,,40,40,-0.125,-0.125,0.0,0.515776735638242,0.0,-0.275,0.025,0.22427757224277572,0.2265625,18.0,0.13166801602281422,-0.45454545454545453,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,A_BASE,empathy,P001,COMPUTED,,40,40,0.0,0.0,0.0,0.5991446895152781,0.0,-0.175,0.175,1.0,1.0,52.5,1.0,0.0,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,B_FAIRNESS,severity,P001,COMPUTED,,40,40,0.05,0.05,0.0,0.597001052268969,0.0,-0.15,0.225,0.7915208479152085,0.548828125,27.5,0.5929800980174267,0.16666666666666666,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,B_FAIRNESS,empathy,P001,COMPUTED,,40,40,-0.125,-0.125,0.0,0.6071159226949525,0.0,-0.3,0.075,0.31326867313268675,0.14599609375,24.0,0.19670560245894686,-0.38461538461538464,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,A_BASE,severity,P002,COMPUTED,,40,40,0.05,0.05,0.0,0.3889499341586925,0.0,-0.075,0.175,0.6903309669033096,0.6875,7.0,0.4142161782425253,0.3333333333333333,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,A_BASE,empathy,P002,COMPUTED,,40,40,-0.025,-0.025,0.0,0.47971679679598994,0.0,-0.175,0.125,1.0,1.0,20.0,0.7388826803635273,-0.1111111111111111,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemini-3.7-flash,B_FAIRNESS,severity,P002,COMPUTED,,40,40,-0.025,-0.025,0.0,0.3571611716915804,0.0,-0.125,0.1,1.0,1.0,6.0,0.6547208460185769,-0.2,1.0,False,PRIMARY_JUDGE_PER_PAIR,
